Title,Content,Description,URL,Source,Published Date,Image URL,Author,Language,Entities,Keywords,Chunks,Metadata
alibaba denies it has made 1 billion investment in deepseek,on feb 7 reports circulated online that alibaba was looking to invest 1 billion in deepseek to take a 10 stake valuing the ai company at 10 billion and potentially forging a strong partnership,on feb 7 reports circulated online that alibaba was looking to invest 1 billion in deepseek to take a 10 stake valuing the ai company at 10 billion and potentially forging a strong partnership between two hangzhoubased tech companies alibaba group,http://technode.com/2025/02/08/alibaba-denies-it-has-made-1-billion-investment-in-deepseek/,TechNode,2025-02-08T09:38:00Z,https://i0.wp.com/technode.com/wp-content/uploads/2023/10/%E6%88%AA%E5%B1%8F2023-10-10-%E4%B8%8B%E5%8D%883.49.21.png?fit=480%2C254&ssl=1,TechNode Feed,en,"{'Persons': [], 'Organizations': ['AI'], 'Locations': ['Alibaba']}","[('billion deepseek', 0.6047), ('deepseek', 0.5423), ('deepseek 10', 0.5385), ('invest billion', 0.4686), ('valuing ai', 0.4207)]","['On Feb. 7, reports circulated online that Alibaba was looking to invest $1 billion in DeepSeek to take a 10% stake, valuing the AI company at $10 billion and potentially forging a strong partnership … [+356 chars]']","{'Source': 'TechNode', 'Published Date': '2025-02-08T09:38:00Z', 'Keywords': [('billion deepseek', 0.6047), ('deepseek', 0.5423), ('deepseek 10', 0.5385), ('invest billion', 0.4686), ('valuing ai', 0.4207)], 'Entities': {'Persons': [], 'Organizations': ['AI'], 'Locations': ['Alibaba']}}"
apple stock jumps on artificial intelligence ai driving iphone sales heres why its not getting crushed by the deepseek launch,the news of deepseeks launch last week spread rapidly in the markets wiping out 16 of nvidias value while affecting many other artificial intelligence ai stockshowever several stocks notably,the news of deepseeks launch last week spread rapidly in the markets wiping out 16 of nvidias value while affecting many other artificial intelligence ai stocks however several stocks notably withstood the deepseek avalanche including apple nasdaq,https://biztoc.com/x/519f28455f9d8f33,Biztoc.com,2025-02-08T09:35:30Z,https://biztoc.com/cdn/808/og.png,aol.com,en,"{'Persons': [], 'Organizations': ['DeepSeek', 'AI'], 'Locations': ['Nvidia']}","[('deepseek launch', 0.6475), ('deepseek', 0.6154), ('news deepseek', 0.6028), ('ai stocks', 0.4829), ('stocks notably', 0.3955)]","[""The news of DeepSeek's launch last week spread rapidly in the markets, wiping out 16% of Nvidia's value while affecting many other artificial intelligence (AI) stocks.However, several stocks notably … [+147 chars]""]","{'Source': 'Biztoc.com', 'Published Date': '2025-02-08T09:35:30Z', 'Keywords': [('deepseek launch', 0.6475), ('deepseek', 0.6154), ('news deepseek', 0.6028), ('ai stocks', 0.4829), ('stocks notably', 0.3955)], 'Entities': {'Persons': [], 'Organizations': ['DeepSeek', 'AI'], 'Locations': ['Nvidia']}}"
apple stock jumps on artificial intelligence ai driving iphone sales heres why its not getting crushed by the deepseek launch,if you click accept all we and our partners including 239 who are part of the iab transparency amp consent framework will also store andor access information on a device in other words use,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_713cb470-d013-43f6-94ee-23b0db69939c,Yahoo Entertainment,2025-02-08T09:05:00Z,,,en,"{'Persons': ['Consent Framework'], 'Organizations': ['the IAB Transparency &'], 'Locations': []}","[('access information', 0.5177), ('iab transparency', 0.48), ('239 iab', 0.4692), ('consent framework', 0.4651), ('information device', 0.429)]","[""If you click 'Accept all', we and our partners, including 239 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+702 chars]""]","{'Source': 'Yahoo Entertainment', 'Published Date': '2025-02-08T09:05:00Z', 'Keywords': [('access information', 0.5177), ('iab transparency', 0.48), ('239 iab', 0.4692), ('consent framework', 0.4651), ('information device', 0.429)], 'Entities': {'Persons': ['Consent Framework'], 'Organizations': ['the IAB Transparency &'], 'Locations': []}}"
stockmarket concentration rivals 1929 and 1999 levels glenmede investment management warns — setting the sp 500 up for 5 years of dismal returns,how much longer can the magnificent seven stocks continue to dominate the equity market history suggests their era of outperformance is on the verge of fading according to an analysis by glenmede,how much longer can the magnificent seven stocks continue to dominate history suggests not long,https://www.businessinsider.com/stock-market-crash-why-sp500-due-for-dismal-returns-glenmede-2025-2,Business Insider,2025-02-08T09:00:01Z,https://i.insider.com/67a667f06630eb10385bf7fe?width=792&format=jpeg,wedwards@businessinsider.com (William Edwards),en,"{'Persons': ['Glenmede'], 'Organizations': [], 'Locations': []}","[('seven stocks', 0.6125), ('stocks continue', 0.5554), ('stocks', 0.4648), ('magnificent seven', 0.4286), ('dominate equity', 0.4134)]",['How much longer can the Magnificent Seven stocks continue to dominate the equity market? History suggests their era of outperformance is on the verge of fading. According to an analysis by Glenmede … [+3601 chars]'],"{'Source': 'Business Insider', 'Published Date': '2025-02-08T09:00:01Z', 'Keywords': [('seven stocks', 0.6125), ('stocks continue', 0.5554), ('stocks', 0.4648), ('magnificent seven', 0.4286), ('dominate equity', 0.4134)], 'Entities': {'Persons': ['Glenmede'], 'Organizations': [], 'Locations': []}}"
cloudastructure inc class a common stock csai expands sales team to meet growing demand for ai security solutions,we recently compiled a list of the 10 ai news updates making waves on wall street in this article we are going to take a look at where cloudastructure inc class a common stock nasdaqcsai,we recently compiled a list of the 10 ai news updates making waves on wall street in this article we are going to take a look at where cloudastructure inc,https://finance.yahoo.com/news/cloudastructure-inc-class-common-stock-072419300.html,Yahoo Entertainment,2025-02-08T07:24:19Z,https://s.yimg.com/ny/api/res/1.2/jES.4QWlDHc9sIS36lXM2g--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzM-/https://media.zenfs.com/en/insidermonkey.com/98ce5b257a2e848e21ffb1e42a1541ab,Affan Mir,en,"{'Persons': [], 'Organizations': ['Cloudastructure, Inc.'], 'Locations': []}","[('nasdaq csai', 0.5572), ('stock nasdaq', 0.5526), ('cloudastructure', 0.5204), ('nasdaq', 0.5068), ('ai news', 0.4957)]","['We recently compiled a list of the 10 AI News Updates Making Waves on Wall Street. In this article, we are going to take a look at where Cloudastructure, Inc. Class A Common Stock (NASDAQ:CSAI) stand… [+4626 chars]']","{'Source': 'Yahoo Entertainment', 'Published Date': '2025-02-08T07:24:19Z', 'Keywords': [('nasdaq csai', 0.5572), ('stock nasdaq', 0.5526), ('cloudastructure', 0.5204), ('nasdaq', 0.5068), ('ai news', 0.4957)], 'Entities': {'Persons': [], 'Organizations': ['Cloudastructure, Inc.'], 'Locations': []}}"
how apple could work with deepseek to pull ahead in the ai race,ever since deepseek burst onto the scene last month theres been no shortage of opinions about what the chinese startups artificial intelligence accomplishments mean for americas ai giants like,ever since deepseek burst onto the scene last month there’s been no shortage of opinions about what the chinese startup’s artificial intelligence accomplishments mean for america’s ai giants like openai microsoft google and meta however there’s one,https://www.fastcompany.com/91273725/deepseek-benefit-apple-intelligence-china-ai-race-openai-google-microsoft-meta,Fast Company,2025-02-08T10:00:00Z,"https://images.fastcompany.com/image/upload/f_webp,q_auto,c_fit,w_1024,h_1024/wp-cms-2/2025/02/p-91273725-how-apple-could-work-with-deepseek.jpg",Michael Grothaus,en,"{'Persons': [], 'Organizations': [], 'Locations': ['Americas AI']}","[('ai giants', 0.501), ('deepseek', 0.4875), ('americas ai', 0.4867), ('chinese startups', 0.4839), ('deepseek burst', 0.4403)]","['Ever since DeepSeek burst onto the scene last month, theres been no shortage of opinions about what the Chinese startups artificial intelligence accomplishments mean for Americas AI giants like OpenA… [+1937 chars]']","{'Source': 'Fast Company', 'Published Date': '2025-02-08T10:00:00Z', 'Keywords': [('ai giants', 0.501), ('deepseek', 0.4875), ('americas ai', 0.4867), ('chinese startups', 0.4839), ('deepseek burst', 0.4403)], 'Entities': {'Persons': [], 'Organizations': [], 'Locations': ['Americas AI']}}"
ai expert explores finland’s role in global tech race,as the us and china compete for dominance in artificial intelligence ai finland is carving out its role by focusing on innovation tailored to its unique language and culture according to peter,silo ai founder peter sarlin highlights the importance of sovereignty innovation and education in boosting finland’s competitiveness in the sector on the world stage,https://yle.fi/a/74-20142384,YLE News,2025-02-08T09:59:57Z,"https://images.cdn.yle.fi/image/upload/c_crop,x_0,y_153,w_6000,h_3375/w_1200,ar_1.91,c_fill/q_auto:eco,f_auto,fl_lossy/v1739002816/39-141858767a712ab2e90b",,en,"{'Persons': ['Peter S'], 'Organizations': [], 'Locations': ['US', 'China', 'Finland']}","[('ai finland', 0.7197), ('finland', 0.5061), ('ai', 0.4974), ('intelligence ai', 0.4502), ('innovation', 0.4381)]","['As the US and China compete for dominance in artificial intelligence (AI), Finland is carving out its role by focusing on innovation tailored to its unique language and culture. According to Peter S… [+2846 chars]']","{'Source': 'YLE News', 'Published Date': '2025-02-08T09:59:57Z', 'Keywords': [('ai finland', 0.7197), ('finland', 0.5061), ('ai', 0.4974), ('intelligence ai', 0.4502), ('innovation', 0.4381)], 'Entities': {'Persons': ['Peter S'], 'Organizations': [], 'Locations': ['US', 'China', 'Finland']}}"
mediatek is ‘doing some simulations’ to see if it will be included in us tariffs chief executive says that this year will be ‘manageable’,technology companies based in taiwan face the possibility that newly elected us president donald trump will follow through with this plan of applying tariffs on imported chips meaning that,technology companies based in taiwan face the possibility that newly elected us president donald trump will follow through with this plan of applying tariffs on imported chips meaning that mediatek will also be included in this list this move will,https://wccftech.com/mediatek-doing-simulations-to-see-if-it-will-be-included-in-us-tariffs/,Wccftech,2025-02-08T08:03:27Z,https://cdn.wccftech.com/wp-content/uploads/2025/02/MediaTek.jpg,Omar Sohail,en,"{'Persons': ['Donald Trump', 'MediaTe'], 'Organizations': [], 'Locations': ['Taiwan', 'U.S.']}","[('applying tariffs', 0.5315), ('tariffs', 0.5207), ('tariffs imported', 0.5131), ('based taiwan', 0.4823), ('imported chips', 0.4446)]","['Technology companies based in Taiwan face the possibility that newly elected U.S. President Donald Trump will follow through with this plan of applying tariffs on imported chips, meaning that MediaTe… [+1950 chars]']","{'Source': 'Wccftech', 'Published Date': '2025-02-08T08:03:27Z', 'Keywords': [('applying tariffs', 0.5315), ('tariffs', 0.5207), ('tariffs imported', 0.5131), ('based taiwan', 0.4823), ('imported chips', 0.4446)], 'Entities': {'Persons': ['Donald Trump', 'MediaTe'], 'Organizations': [], 'Locations': ['Taiwan', 'U.S.']}}"
top startup and tech stories this week,welcome to a new edition of ettech unwrapped our weekend newsletter packed with the most important stories this week lets take a look openai ceo sam altmaninterview openai ceo sam altman on,welcome to a new edition of ettech unwrapped – our weekend newsletter packed with the most important stories this week let’s take a look,https://economictimes.indiatimes.com/tech/newsletters/ettech-unwrapped/top-startup-and-tech-stories-this-week/articleshow/118044779.cms,The Times of India,2025-02-08T01:24:16Z,"https://img.etimg.com/thumb/msid-118044779,width-1070,height-580,imgsize-37466,overlay-ettech/editionshow.jpg",ETtech,en,"{'Persons': ['OpenAI', 'Sam AltmanInterview', 'Sam Altman'], 'Organizations': [], 'Locations': ['OpenAI']}","[('openai ceo', 0.7326), ('openai', 0.5568), ('ceo sam', 0.5415), ('altman deeps', 0.5206), ('altmaninterview openai', 0.5029)]",['Welcome to a new edition of ETtech Unwrapped our weekend newsletter packed with the most important stories this week. Lets take a look. OpenAI CEO Sam AltmanInterview: OpenAI CEO Sam Altman on DeepS… [+5522 chars]'],"{'Source': 'The Times of India', 'Published Date': '2025-02-08T01:24:16Z', 'Keywords': [('openai ceo', 0.7326), ('openai', 0.5568), ('ceo sam', 0.5415), ('altman deeps', 0.5206), ('altmaninterview openai', 0.5029)], 'Entities': {'Persons': ['OpenAI', 'Sam AltmanInterview', 'Sam Altman'], 'Organizations': [], 'Locations': ['OpenAI']}}"
morgan stanley forecasts strong price appreciation for corpay nysecpay stock,corpay nysecpay – get free report had its price objective raised by research analysts at morgan stanley from 35000 to 38000 in a research report issued to clients and investors on,corpay nysecpay – get free report had its price objective raised by research analysts at morgan stanley from 35000 to 38000 in a research report issued to clients and investors on thursdaybenzinga reports the brokerage currently has an “equal,https://www.etfdailynews.com/2025/02/08/morgan-stanley-forecasts-strong-price-appreciation-for-corpay-nysecpay-stock/,ETF Daily News,2025-02-08T09:42:57Z,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/corpay-inc-logo-1200x675.jpg?v=20240412141104&w=240&h=240&zc=2,MarketBeat News,en,"{'Persons': ['Ben'], 'Organizations': ['NYSE', 'Morgan Stanley'], 'Locations': []}","[('corpay', 0.557), ('corpay nyse', 0.5442), ('nyse cpay', 0.5403), ('report price', 0.4721), ('price objective', 0.469)]","['Corpay (NYSE:CPAY – Get Free Report) had its price objective raised by research analysts at Morgan Stanley from $350.00 to $380.00 in a research report issued to clients and investors on Thursday,Ben… [+5088 chars]']","{'Source': 'ETF Daily News', 'Published Date': '2025-02-08T09:42:57Z', 'Keywords': [('corpay', 0.557), ('corpay nyse', 0.5442), ('nyse cpay', 0.5403), ('report price', 0.4721), ('price objective', 0.469)], 'Entities': {'Persons': ['Ben'], 'Organizations': ['NYSE', 'Morgan Stanley'], 'Locations': []}}"
